url_path,views_total,views_unique
/jens62/geberit-aquaclean,126,65
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,23,15
/jens62/geberit-aquaclean/tree/main/docs/developer,22,1
/jens62/geberit-aquaclean/issues,20,8
/jens62/geberit-aquaclean/tree/main/docs,16,1
/jens62/geberit-aquaclean/tree/main,14,4
/jens62/geberit-aquaclean/blob/main/docs/developer/mock-service-requirements.md,9,1
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,8,7
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,7,5
/jens62/geberit-aquaclean/blob/v3.1.2/docs/hacs-integration.md,7,2
