url_path,views_total,views_unique
/jens62/geberit-aquaclean,134,43
/jens62/geberit-aquaclean/issues,41,11
/jens62/geberit-aquaclean/issues/21,37,14
/jens62/geberit-aquaclean/issues/27,20,4
/jens62/geberit-aquaclean/stargazers,19,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,16,9
/jens62/geberit-aquaclean/issues/28,15,2
/jens62/geberit-aquaclean/tree/main,13,1
/jens62/geberit-aquaclean/tree/main/docs,12,1
/jens62/geberit-aquaclean/issues/26,10,3
