time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,202,65,15,7
2026-06-21 00:00:00+00:00,276,62,75,11
2026-06-22 00:00:00+00:00,93,35,33,6
2026-06-23 00:00:00+00:00,194,39,13,6
2026-06-24 00:00:00+00:00,42,15,34,5
2026-06-25 00:00:00+00:00,229,44,19,5
2026-06-26 00:00:00+00:00,94,50,9,3
2026-06-27 00:00:00+00:00,151,63,86,8
2026-06-28 00:00:00+00:00,35,13,63,8
2026-06-29 00:00:00+00:00,37,14,24,10
2026-06-30 00:00:00+00:00,45,15,35,8
2026-07-01 00:00:00+00:00,55,25,56,10
2026-07-02 00:00:00+00:00,30,20,13,6
2026-07-03 00:00:00+00:00,25,14,13,7
