referrer,views_total,views_unique
Google,86,37
github.com,25,9
DuckDuckGo,13,3
m.facebook.com,9,4
Bing,8,4
l.facebook.com,8,4
lm.facebook.com,7,5
facebook.com,3,2
community.home-assistant.io,1,1
