time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,25,20,33,11
2026-09-05 00:00:00+00:00,20,19,12,7
2026-09-06 00:00:00+00:00,33,31,9,4
2026-09-07 00:00:00+00:00,28,18,10,5
2026-09-08 00:00:00+00:00,10,9,30,15
2026-09-09 00:00:00+00:00,11,8,4,3
2026-09-10 00:00:00+00:00,14,13,36,7
2026-09-11 00:00:00+00:00,20,12,3,1
2026-09-12 00:00:00+00:00,39,38,20,7
2026-09-13 00:00:00+00:00,34,24,13,7
2026-09-14 00:00:00+00:00,21,19,30,10
2026-09-15 00:00:00+00:00,10,9,22,5
2026-09-16 00:00:00+00:00,30,20,12,9
2026-09-17 00:00:00+00:00,16,12,9,7
