referrer,views_total,views_unique
Google,193,40
github.com,81,14
teams.public.onecdn.static.microsoft,36,3
kagi.com,8,1
Bing,6,2
chatgpt.com,4,2
community.home-assistant.io,4,2
DuckDuckGo,1,1
