time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,60,27,7,2
2026-07-05 00:00:00+00:00,77,28,31,11
2026-07-06 00:00:00+00:00,27,18,31,10
2026-07-07 00:00:00+00:00,49,15,15,9
2026-07-08 00:00:00+00:00,43,13,12,6
2026-07-09 00:00:00+00:00,23,11,10,8
2026-07-10 00:00:00+00:00,18,11,20,8
2026-07-11 00:00:00+00:00,32,22,33,13
2026-07-12 00:00:00+00:00,27,19,58,10
2026-07-13 00:00:00+00:00,10,9,19,7
2026-07-14 00:00:00+00:00,20,15,54,11
2026-07-15 00:00:00+00:00,30,12,17,10
2026-07-16 00:00:00+00:00,166,83,37,8
2026-07-17 00:00:00+00:00,121,59,37,9
