url_path,views_total,views_unique
/jens62/geberit-aquaclean,94,58
/jens62/geberit-aquaclean/pull/46,14,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,9,5
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,8,7
/jens62/geberit-aquaclean/blob/main/POLICIES/CLAUDE_POLICY.md,7,2
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,6,6
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,6,4
/jens62/geberit-aquaclean/issues,4,4
/jens62/geberit-aquaclean/issues/21,4,4
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,3,2
