time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-14 00:00:00+00:00,20,15,54,11
2026-07-15 00:00:00+00:00,30,12,17,10
2026-07-16 00:00:00+00:00,166,83,37,8
2026-07-17 00:00:00+00:00,121,59,37,9
2026-07-18 00:00:00+00:00,85,46,25,9
2026-07-19 00:00:00+00:00,54,29,49,8
2026-07-20 00:00:00+00:00,70,39,22,10
2026-07-21 00:00:00+00:00,64,40,15,11
2026-07-22 00:00:00+00:00,133,58,17,11
2026-07-23 00:00:00+00:00,16,15,20,8
2026-07-24 00:00:00+00:00,31,24,10,5
2026-07-25 00:00:00+00:00,24,20,13,6
2026-07-26 00:00:00+00:00,41,23,34,8
2026-07-27 00:00:00+00:00,16,14,11,2
