url_path,views_total,views_unique
/jens62/geberit-aquaclean,113,57
/jens62/geberit-aquaclean/issues,30,12
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,25,10
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,19,8
/jens62/geberit-aquaclean/stargazers,17,4
/jens62/geberit-aquaclean/issues/32,16,6
/jens62/geberit-aquaclean/tree/main,12,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,11,11
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,8,8
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,6,3
