url_path,views_total,views_unique
/jens62/geberit-aquaclean,78,56
/jens62/geberit-aquaclean/commits/main,16,3
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,9,8
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,9,5
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,7,7
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,7,5
/jens62/geberit-aquaclean/issues,7,4
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,5,5
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,4,4
/jens62/geberit-aquaclean/blob/main/esphome/aquaclean-proxy-wifi.yaml,4,2
