referrer,views_total,views_unique
Google,73,38
Bing,20,2
github.com,18,8
DuckDuckGo,13,3
community.home-assistant.io,9,4
m.facebook.com,9,4
lm.facebook.com,7,5
facebook.com,3,2
l.facebook.com,3,2
