url_path,views_total,views_unique
/jens62/geberit-aquaclean,86,35
/jens62/geberit-aquaclean/issues/21,43,12
/jens62/geberit-aquaclean/issues,38,8
/jens62/geberit-aquaclean/issues/19,15,5
/jens62/geberit-aquaclean/stargazers,15,2
/jens62/geberit-aquaclean/issues/27,14,3
/jens62/geberit-aquaclean/blob/main/docs/developer/ble-traffic-capture.md,14,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,11,9
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,10,9
/jens62/geberit-aquaclean/issues/26,9,3
