time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,11,8,4,3
2026-09-10 00:00:00+00:00,14,13,36,7
2026-09-11 00:00:00+00:00,20,12,3,1
2026-09-12 00:00:00+00:00,39,38,20,7
2026-09-13 00:00:00+00:00,34,24,13,7
2026-09-14 00:00:00+00:00,21,19,30,10
2026-09-15 00:00:00+00:00,10,9,22,5
2026-09-16 00:00:00+00:00,30,20,12,9
2026-09-17 00:00:00+00:00,16,12,9,7
2026-09-18 00:00:00+00:00,22,19,11,7
2026-09-19 00:00:00+00:00,35,32,23,6
2026-09-20 00:00:00+00:00,17,14,11,8
2026-09-21 00:00:00+00:00,20,14,41,11
2026-09-22 00:00:00+00:00,34,19,12,5
