time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-19 00:00:00+00:00,54,29,49,8
2026-07-20 00:00:00+00:00,70,39,22,10
2026-07-21 00:00:00+00:00,64,40,15,11
2026-07-22 00:00:00+00:00,133,58,17,11
2026-07-23 00:00:00+00:00,16,15,20,8
2026-07-24 00:00:00+00:00,31,24,10,5
2026-07-25 00:00:00+00:00,24,20,13,6
2026-07-26 00:00:00+00:00,41,23,34,8
2026-07-27 00:00:00+00:00,16,14,11,2
2026-07-28 00:00:00+00:00,11,11,14,6
2026-07-29 00:00:00+00:00,9,7,35,11
2026-07-30 00:00:00+00:00,10,8,34,10
2026-07-31 00:00:00+00:00,7,6,48,12
2026-08-01 00:00:00+00:00,7,7,32,4
