url_path,views_total,views_unique
/jens62/geberit-aquaclean,150,71
/jens62/geberit-aquaclean/commits/main,58,5
/jens62/geberit-aquaclean/issues,47,14
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,29,22
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,27,14
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,19,15
/jens62/geberit-aquaclean/blob/main/docs/developer/alba-ble-encryption.md,17,7
/jens62/geberit-aquaclean/tree/main,16,9
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,9,7
/jens62/geberit-aquaclean/tree/main/docs,8,7
