url_path,views_total,views_unique
/jens62/geberit-aquaclean,121,59
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,30,12
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,23,11
/jens62/geberit-aquaclean/issues,21,11
/jens62/geberit-aquaclean/issues/32,16,5
/jens62/geberit-aquaclean/tree/main,12,3
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,11,11
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,10,7
/jens62/geberit-aquaclean/stargazers,10,3
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,8,8
