referrer,views_total,views_unique
Google,87,36
github.com,31,9
DuckDuckGo,12,2
Bing,8,4
l.facebook.com,8,4
m.facebook.com,7,4
lm.facebook.com,3,3
facebook.com,3,2
community.home-assistant.io,1,1
