time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,10,8,34,10
2026-07-31 00:00:00+00:00,7,6,48,12
2026-08-01 00:00:00+00:00,7,7,32,4
2026-08-02 00:00:00+00:00,29,11,31,5
2026-08-03 00:00:00+00:00,9,8,5,4
2026-08-04 00:00:00+00:00,10,10,16,6
2026-08-05 00:00:00+00:00,23,17,31,7
2026-08-06 00:00:00+00:00,25,23,168,12
2026-08-07 00:00:00+00:00,11,11,98,5
2026-08-08 00:00:00+00:00,32,26,15,6
2026-08-09 00:00:00+00:00,21,20,20,7
2026-08-10 00:00:00+00:00,13,13,70,17
2026-08-11 00:00:00+00:00,25,14,77,9
2026-08-12 00:00:00+00:00,19,7,58,10
