url_path,views_total,views_unique
/jens62/geberit-aquaclean,148,68
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,35,19
/jens62/geberit-aquaclean/issues,19,10
/jens62/geberit-aquaclean/tree/main/docs/developer,19,1
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,17,13
/jens62/geberit-aquaclean/tree/main/docs,15,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,14,13
/jens62/geberit-aquaclean/tree/main,14,5
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,11,10
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,11,7
