url_path,views_total,views_unique
/jens62/geberit-aquaclean,106,40
/jens62/geberit-aquaclean/issues/21,49,15
/jens62/geberit-aquaclean/issues,40,12
/jens62/geberit-aquaclean/issues/27,18,3
/jens62/geberit-aquaclean/blob/main/docs/developer/ble-traffic-capture.md,15,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,12,10
/jens62/geberit-aquaclean/releases,12,5
/jens62/geberit-aquaclean/stargazers,12,2
/jens62/geberit-aquaclean/tree/main/docs,12,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,11,7
