url_path,views_total,views_unique
/jens62/geberit-aquaclean,73,37
/jens62/geberit-aquaclean/issues/19,37,10
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,20,10
/jens62/geberit-aquaclean/issues,19,6
/jens62/geberit-aquaclean/blob/main/docs/esphome-troubleshooting.md,12,3
/jens62/geberit-aquaclean/issues/20,11,4
/jens62/geberit-aquaclean/releases,10,2
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,8,4
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,7,6
/jens62/geberit-aquaclean/stargazers,7,2
