url_path,views_total,views_unique
/jens62/geberit-aquaclean,100,37
/jens62/geberit-aquaclean/issues,53,10
/jens62/geberit-aquaclean/issues/17,53,8
/jens62/geberit-aquaclean/issues/19,21,6
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,11,11
/jens62/geberit-aquaclean/tree/main,11,4
/jens62/geberit-aquaclean/blob/main/operation_support/BLE_COMMAND_REFERENCE.md,11,1
/jens62/geberit-aquaclean/issues/18,10,6
/jens62/geberit-aquaclean/blob/main/docs/developer/ble-traffic-capture.md,10,4
/jens62/geberit-aquaclean/issues/12,8,4
