url_path,views_total,views_unique
/jens62/geberit-aquaclean,142,50
/jens62/geberit-aquaclean/issues/21,46,14
/jens62/geberit-aquaclean/issues,43,9
/jens62/geberit-aquaclean/stargazers,21,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,20,10
/jens62/geberit-aquaclean/issues/27,20,4
/jens62/geberit-aquaclean/tree/main/docs,19,1
/jens62/geberit-aquaclean/issues/28,16,2
/jens62/geberit-aquaclean/tree/main,14,1
/jens62/geberit-aquaclean/releases,13,4
