url_path,views_total,views_unique
/jens62/geberit-aquaclean,78,55
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,8,7
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,8,6
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,8,6
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,6,6
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,6,5
/jens62/geberit-aquaclean/blob/main/esphome/aquaclean-proxy-wifi.yaml,5,3
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,3,3
/jens62/geberit-aquaclean/issues,3,3
/jens62/geberit-aquaclean/blob/v3.1.2/docs/hacs-integration.md,3,2
