time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,41,23,34,8
2026-07-27 00:00:00+00:00,16,14,11,2
2026-07-28 00:00:00+00:00,11,11,14,6
2026-07-29 00:00:00+00:00,9,7,35,11
2026-07-30 00:00:00+00:00,10,8,34,10
2026-07-31 00:00:00+00:00,7,6,48,12
2026-08-01 00:00:00+00:00,7,7,32,4
2026-08-02 00:00:00+00:00,29,11,31,5
2026-08-03 00:00:00+00:00,9,8,5,4
2026-08-04 00:00:00+00:00,10,10,16,6
2026-08-05 00:00:00+00:00,23,17,31,7
2026-08-06 00:00:00+00:00,25,23,168,12
2026-08-07 00:00:00+00:00,11,11,98,5
2026-08-08 00:00:00+00:00,32,26,15,6
