url_path,views_total,views_unique
/jens62/geberit-aquaclean,155,64
/jens62/geberit-aquaclean/issues,38,9
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,21,14
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,18,12
/jens62/geberit-aquaclean/commits/main,17,5
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,14,10
/jens62/geberit-aquaclean/tree/main,10,5
/jens62/geberit-aquaclean/tree/main/aquaclean_ble_relay,9,7
/jens62/geberit-aquaclean/tree/main/graphics,9,7
/jens62/geberit-aquaclean/issues/17,9,2
