url_path,views_total,views_unique
/jens62/geberit-aquaclean,120,36
/jens62/geberit-aquaclean/issues/21,43,17
/jens62/geberit-aquaclean/issues,40,10
/jens62/geberit-aquaclean/issues/27,19,4
/jens62/geberit-aquaclean/blob/main/docs/developer/ble-traffic-capture.md,18,2
/jens62/geberit-aquaclean/stargazers,18,2
/jens62/geberit-aquaclean/tree/main/docs,16,2
/jens62/geberit-aquaclean/issues/28,15,2
/jens62/geberit-aquaclean/tree/main,12,1
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,11,6
