url_path,views_total,views_unique
/jens62/geberit-aquaclean,68,33
/jens62/geberit-aquaclean/issues/21,25,8
/jens62/geberit-aquaclean/issues,25,6
/jens62/geberit-aquaclean/issues/19,19,7
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,16,8
/jens62/geberit-aquaclean/blob/main/docs/developer/ble-traffic-capture.md,13,2
/jens62/geberit-aquaclean/stargazers,11,1
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,9,8
/jens62/geberit-aquaclean/tree/main,9,3
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,8,8
