time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,78,26,10,3
2026-05-03 00:00:00+00:00,160,47,128,9
2026-05-04 00:00:00+00:00,46,16,18,9
2026-05-05 00:00:00+00:00,286,59,22,5
2026-05-06 00:00:00+00:00,3612,143,31,8
2026-05-07 00:00:00+00:00,331,84,44,6
2026-05-08 00:00:00+00:00,583,125,15,5
2026-05-09 00:00:00+00:00,313,123,61,11
2026-05-10 00:00:00+00:00,491,189,52,11
2026-05-11 00:00:00+00:00,74,31,59,6
2026-05-12 00:00:00+00:00,4,4,16,9
2026-05-13 00:00:00+00:00,15,9,1,1
2026-05-14 00:00:00+00:00,30,13,16,8
2026-05-15 00:00:00+00:00,47,12,13,6
