url_path,views_total,views_unique
/jens62/geberit-aquaclean,159,66
/jens62/geberit-aquaclean/issues,32,11
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,19,12
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,18,12
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,14,11
/jens62/geberit-aquaclean/blob/main/POLICIES/CLAUDE_POLICY.md,10,3
/jens62/geberit-aquaclean/tree/main/graphics,9,7
/jens62/geberit-aquaclean/blob/main/docs/developer/alba-ble-encryption.md,8,4
/jens62/geberit-aquaclean/pull/46,8,2
/jens62/geberit-aquaclean/tree/main/docs,7,5
