referrer,views_total,views_unique
Google,69,33
Bing,18,2
github.com,11,8
community.home-assistant.io,11,5
m.facebook.com,9,4
lm.facebook.com,7,5
DuckDuckGo,7,3
facebook.com,3,2
l.facebook.com,2,1
