referrer,views_total,views_unique
Google,93,38
github.com,21,8
DuckDuckGo,13,3
m.facebook.com,9,4
lm.facebook.com,7,5
Bing,7,3
community.home-assistant.io,7,3
l.facebook.com,7,3
facebook.com,3,2
