time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,25,11,16,9
2026-08-26 00:00:00+00:00,47,12,34,8
2026-08-27 00:00:00+00:00,17,16,9,5
2026-08-28 00:00:00+00:00,32,19,4,3
2026-08-29 00:00:00+00:00,27,26,9,3
2026-08-30 00:00:00+00:00,22,22,32,11
2026-08-31 00:00:00+00:00,55,52,9,4
2026-09-01 00:00:00+00:00,31,12,12,5
2026-09-02 00:00:00+00:00,21,15,6,4
2026-09-03 00:00:00+00:00,32,31,16,3
2026-09-04 00:00:00+00:00,25,20,33,11
2026-09-05 00:00:00+00:00,20,19,12,7
2026-09-06 00:00:00+00:00,33,31,9,4
2026-09-07 00:00:00+00:00,28,18,10,5
