url_path,views_total,views_unique
/jens62/geberit-aquaclean,124,67
/jens62/geberit-aquaclean/issues,32,12
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,22,11
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,18,13
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,12,11
/jens62/geberit-aquaclean/tree/main,9,6
/jens62/geberit-aquaclean/blob/v3.1.2/docs/hacs-integration.md,8,2
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,5,5
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,5,2
/jens62/geberit-aquaclean/issues/30,5,1
