url_path,views_total,views_unique
/jens62/geberit-aquaclean,119,58
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,30,12
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,24,12
/jens62/geberit-aquaclean/issues,20,11
/jens62/geberit-aquaclean/issues/32,14,5
/jens62/geberit-aquaclean/tree/main,13,4
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,10,10
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,10,7
/jens62/geberit-aquaclean/stargazers,10,3
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,9,5
