time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,43,13,12,6
2026-07-09 00:00:00+00:00,23,11,10,8
2026-07-10 00:00:00+00:00,18,11,20,8
2026-07-11 00:00:00+00:00,32,22,33,13
2026-07-12 00:00:00+00:00,27,19,58,10
2026-07-13 00:00:00+00:00,10,9,19,7
2026-07-14 00:00:00+00:00,20,15,54,11
2026-07-15 00:00:00+00:00,30,12,17,10
2026-07-16 00:00:00+00:00,166,83,37,8
2026-07-17 00:00:00+00:00,121,59,37,9
2026-07-18 00:00:00+00:00,85,46,25,9
2026-07-19 00:00:00+00:00,54,29,49,8
2026-07-20 00:00:00+00:00,70,39,22,10
2026-07-21 00:00:00+00:00,64,40,15,11
