url_path,views_total,views_unique
/jens62/geberit-aquaclean,146,71
/jens62/geberit-aquaclean/issues,29,12
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,25,14
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,17,12
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,13,10
/jens62/geberit-aquaclean/tree/main/docs/developer,12,2
/jens62/geberit-aquaclean/tree/main,10,5
/jens62/geberit-aquaclean/blob/v3.1.2/docs/hacs-integration.md,8,2
/jens62/geberit-aquaclean/tree/main/docs,7,2
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,5,5
