url_path,views_total,views_unique
/jens62/geberit-aquaclean,124,63
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,32,14
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,22,13
/jens62/geberit-aquaclean/tree/main,20,5
/jens62/geberit-aquaclean/issues,18,9
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,11,11
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,11,7
/jens62/geberit-aquaclean/tree/main/docs,11,2
/jens62/geberit-aquaclean/tree/main/docs/developer,11,1
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,9,9
