time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,10,10,16,6
2026-08-05 00:00:00+00:00,23,17,31,7
2026-08-06 00:00:00+00:00,25,23,168,12
2026-08-07 00:00:00+00:00,11,11,98,5
2026-08-08 00:00:00+00:00,32,26,15,6
2026-08-09 00:00:00+00:00,21,20,20,7
2026-08-10 00:00:00+00:00,13,13,70,17
2026-08-11 00:00:00+00:00,25,14,77,9
2026-08-12 00:00:00+00:00,19,7,58,10
2026-08-13 00:00:00+00:00,34,15,148,9
2026-08-14 00:00:00+00:00,6,6,16,8
2026-08-15 00:00:00+00:00,36,34,6,4
2026-08-16 00:00:00+00:00,42,21,13,7
2026-08-17 00:00:00+00:00,65,44,13,7
