url_path,views_total,views_unique
/jens62/geberit-aquaclean,66,33
/jens62/geberit-aquaclean/issues/19,38,10
/jens62/geberit-aquaclean/issues,21,6
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,18,7
/jens62/geberit-aquaclean/issues/20,11,4
/jens62/geberit-aquaclean/stargazers,7,2
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,6,5
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,6,4
/jens62/geberit-aquaclean/blob/main/docs/esphome.md,6,2
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,5,4
