url_path,views_total,views_unique
/jens62/geberit-aquaclean,116,59
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,14,12
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,13,8
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,12,10
/jens62/geberit-aquaclean/blob/main/POLICIES/CLAUDE_POLICY.md,12,3
/jens62/geberit-aquaclean/pull/46,12,2
/jens62/geberit-aquaclean/issues,11,8
/jens62/geberit-aquaclean/blob/main/docs/developer/alba-ble-encryption.md,7,3
/jens62/geberit-aquaclean/tree/main/graphics,6,4
/jens62/geberit-aquaclean/activity,6,1
