url_path,views_total,views_unique
/jens62/geberit-aquaclean,116,45
/jens62/geberit-aquaclean/issues/19,33,7
/jens62/geberit-aquaclean/issues,32,7
/jens62/geberit-aquaclean/issues/17,26,5
/jens62/geberit-aquaclean/tree/main,19,3
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,14,14
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,13,12
/jens62/geberit-aquaclean/tree/main/aquaclean_console_app,11,3
/jens62/geberit-aquaclean/stargazers,10,1
/jens62/geberit-aquaclean/tree/feature/alba-support,10,1
