referrer,views_total,views_unique
Google,194,40
github.com,79,13
teams.public.onecdn.static.microsoft,34,2
kagi.com,8,1
community.home-assistant.io,4,2
Bing,3,1
DuckDuckGo,1,1
chatgpt.com,1,1
