url_path,views_total,views_unique
/jens62/geberit-aquaclean,121,60
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,31,14
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,26,12
/jens62/geberit-aquaclean/issues,18,11
/jens62/geberit-aquaclean/tree/main,15,4
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,12,11
/jens62/geberit-aquaclean/issues/32,12,5
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,11,7
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,9,9
/jens62/geberit-aquaclean/stargazers,9,2
