url_path,views_total,views_unique
/jens62/geberit-aquaclean,70,32
/jens62/geberit-aquaclean/issues/19,34,9
/jens62/geberit-aquaclean/issues,31,5
/jens62/geberit-aquaclean/issues/21,22,7
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,16,7
/jens62/geberit-aquaclean/blob/main/docs/developer/ble-traffic-capture.md,13,2
/jens62/geberit-aquaclean/stargazers,13,1
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,11,9
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,8,8
/jens62/geberit-aquaclean/tree/main,7,3
