referrer,views_total,views_unique
Google,63,31
Bing,17,1
github.com,15,8
community.home-assistant.io,11,6
m.facebook.com,9,4
lm.facebook.com,6,4
facebook.com,3,2
l.facebook.com,2,1
DuckDuckGo,1,1
